roc_auc,std_dev,criterion,max_depth,min_samples_leaf,min_samples_split
0.619449285343554,0.04335333489390952,gini,0,1,2
0.6536526829560426,0.054222534558749716,gini,0,1,5
0.6819575697688345,0.10109244669245517,gini,0,1,10
0.6736909734698766,0.087818511121636,gini,0,1,15
0.667411728450513,0.08935769998280367,gini,0,1,20
0.6845161221902822,0.11371458203180305,gini,0,5,2
0.6798808365273286,0.09715273670692076,gini,0,5,5
0.6826835673933006,0.11707555242826721,gini,0,5,10
0.6732869580189245,0.09513218639060073,gini,0,5,15
0.6728650761568251,0.10991191689465682,gini,0,5,20
0.7100032938076417,0.09383932132079029,gini,0,10,2
0.7077036171996646,0.08023297121075242,gini,0,10,5
0.7008405198227332,0.07494705336556948,gini,0,10,10
0.7077754820936639,0.09781038367509381,gini,0,10,15
0.7008405198227332,0.07494705336556948,gini,0,10,20
0.701604783007945,0.09934243342397492,gini,0,15,2
0.701604783007945,0.09934243342397492,gini,0,15,5
0.7029702159939315,0.09771979872684207,gini,0,15,10
0.6956040643590051,0.08926818156488979,gini,0,15,15
0.6947941869285743,0.09083498443502655,gini,0,15,20
0.6919192168722802,0.0632260468718228,gini,0,20,2
0.6920270142132792,0.06318434682916023,gini,0,20,5
0.6919192168722802,0.0632260468718228,gini,0,20,10
0.6945422855032539,0.06064966609328607,gini,0,20,15
0.6944344881622551,0.06071097456385476,gini,0,20,20
0.6829535099013853,0.10100443183002683,gini,2,1,2
0.6829535099013853,0.10100443183002683,gini,2,1,5
0.6829535099013853,0.10100443183002683,gini,2,1,10
0.6829535099013853,0.10100443183002683,gini,2,1,15
0.6829535099013853,0.10100443183002683,gini,2,1,20
0.6829535099013853,0.10100443183002683,gini,2,5,2
0.6829535099013853,0.10100443183002683,gini,2,5,5
0.6829535099013853,0.10100443183002683,gini,2,5,10
0.6829535099013853,0.10100443183002683,gini,2,5,15
0.6829535099013853,0.10100443183002683,gini,2,5,20
0.6829535099013853,0.10100443183002683,gini,2,10,2
0.6829535099013853,0.10100443183002683,gini,2,10,5
0.6829535099013853,0.10100443183002683,gini,2,10,10
0.6829535099013853,0.10100443183002683,gini,2,10,15
0.6829535099013853,0.10100443183002683,gini,2,10,20
0.6829535099013853,0.10100443183002683,gini,2,15,2
0.6829535099013853,0.10100443183002683,gini,2,15,5
0.6829535099013853,0.10100443183002683,gini,2,15,10
0.6829535099013853,0.10100443183002683,gini,2,15,15
0.6829535099013853,0.10100443183002683,gini,2,15,20
0.6838097501696809,0.08438196747953788,gini,2,20,2
0.6838097501696809,0.08438196747953788,gini,2,20,5
0.6838097501696809,0.08438196747953788,gini,2,20,10
0.6838097501696809,0.08438196747953788,gini,2,20,15
0.6838097501696809,0.08438196747953788,gini,2,20,20
0.6714822633449116,0.13322152056258824,gini,5,1,2
0.6835228645147123,0.10545871610262059,gini,5,1,5
0.6843574080728232,0.10321739793103112,gini,5,1,10
0.6818877510280672,0.10967781408853115,gini,5,1,15
0.6781944319679004,0.12235454974001157,gini,5,1,20
0.6858803449514911,0.12110238381380975,gini,5,5,2
0.6858803449514911,0.12110238381380975,gini,5,5,5
0.6858803449514911,0.12110238381380975,gini,5,5,10
0.6855307022797141,0.11807018604897265,gini,5,5,15
0.6893666282389109,0.12494889206029143,gini,5,5,20
0.7063749525891325,0.08877599790643621,gini,5,10,2
0.7090698861141055,0.08904429684060405,gini,5,10,5
0.7063749525891325,0.08877599790643621,gini,5,10,10
0.7090698861141055,0.08904429684060405,gini,5,10,15
0.7090698861141055,0.08904429684060405,gini,5,10,20
0.7104465854194115,0.07072932693147724,gini,5,15,2
0.7087577604104285,0.0712617640924004,gini,5,15,5
0.7087577604104285,0.0712617640924004,gini,5,15,10
0.7104465854194115,0.07072932693147724,gini,5,15,15
0.7109496396774064,0.07069483919805242,gini,5,15,20
0.7234686289775222,0.0704116915746403,gini,5,20,2
0.723288966742524,0.07067493425996886,gini,5,20,5
0.723288966742524,0.07067493425996886,gini,5,20,10
0.723288966742524,0.07067493425996886,gini,5,20,15
0.723288966742524,0.07067493425996886,gini,5,20,20
0.6108214057571765,0.044061467369356594,gini,10,1,2
0.64684004072344,0.06365479575055631,gini,10,1,5
0.6783049367189683,0.10199582861579724,gini,10,1,10
0.6722379426677846,0.08274674639219057,gini,10,1,15
0.6726174666626743,0.07816743922457052,gini,10,1,20
0.6791718693855552,0.09014478597085282,gini,10,5,2
0.689484481674452,0.09744227994469119,gini,10,5,5
0.6797467885375494,0.08829418947685364,gini,10,5,10
0.6831263973729389,0.08909662260605733,gini,10,5,15
0.677176969796782,0.07672998090078216,gini,10,5,20
0.7153212959635884,0.09845181542165846,gini,10,10,2
0.7082426039046592,0.07884173455232278,gini,10,10,5
0.7153212959635884,0.09845181542165846,gini,10,10,10
0.7063741166606778,0.0827616307995961,gini,10,10,15
0.7134528087196071,0.1021373582571014,gini,10,10,20
0.6990535792709707,0.09215588433967216,gini,10,15,2
0.6961596199145607,0.08947418444589013,gini,10,15,5
0.6958002954445642,0.09824460136081878,gini,10,15,10
0.6990535792709707,0.09215588433967216,gini,10,15,15
0.6986030263105362,0.0942127446620381,gini,10,15,20
0.7000040174471993,0.06154761051321682,gini,10,20,2
0.6979918004152195,0.06542269211689891,gini,10,20,5
0.6945422855032539,0.06064966609328607,gini,10,20,10
0.6945422855032539,0.06064966609328607,gini,10,20,15
0.7000040174471993,0.06154761051321682,gini,10,20,20
0.619664880025552,0.046493161941382456,gini,15,1,2
0.6550181159420291,0.05858899560568393,gini,15,1,5
0.679909420289855,0.09657949392074096,gini,15,1,10
0.6752001362438615,0.08333247775573543,gini,15,1,15
0.667946248552721,0.08117637071843098,gini,15,1,20
0.6838693381442889,0.11453140089330817,gini,15,5,2
0.6789825253523376,0.09952793869422835,gini,15,5,5
0.6798089716333293,0.09738265294100164,gini,15,5,10
0.6769520676128878,0.09718149621667349,gini,15,5,15
0.6729369410508245,0.10995214692980301,gini,15,5,20
0.7026371421727152,0.07142071609001543,gini,15,10,2
0.7059069948496826,0.0838229809111362,gini,15,10,5
0.705763265061684,0.08413008562941983,gini,15,10,10
0.7097158342316445,0.09431380725535529,gini,15,10,15
0.7079192118816625,0.09753449774959085,gini,15,10,20
0.6954409709745678,0.0978015663041735,gini,15,15,2
0.6942386313730188,0.09059858919380394,gini,15,15,5
0.6961596199145607,0.08947418444589013,gini,15,15,10
0.6947941869285743,0.09083498443502655,gini,15,15,15
0.6956040643590051,0.08926818156488979,gini,15,15,20
0.6979918004152195,0.06542269211689891,gini,15,20,2
0.6920270142132792,0.06318434682916023,gini,15,20,5
0.6974887461572244,0.06489907508820375,gini,15,20,10
0.6920270142132792,0.06318434682916023,gini,15,20,15
0.6919192168722802,0.0632260468718228,gini,15,20,20
0.6244456546692218,0.03933200161171938,gini,20,1,2
0.6562038866930171,0.05887091540118247,gini,20,1,5
0.6836104623308181,0.0976938657360334,gini,20,1,10
0.6713315342156745,0.09186117490563622,gini,20,1,15
0.667411728450513,0.08935769998280367,gini,20,1,20
0.6782638764123449,0.10112486022503266,gini,20,5,2
0.6850910413422765,0.11262070789002196,gini,20,5,5
0.6798808365273286,0.09715273670692076,gini,20,5,10
0.6769520676128878,0.09718149621667349,gini,20,5,15
0.6732244006268215,0.11012042422134877,gini,20,5,20
0.7079192118816625,0.09753449774959085,gini,20,10,2
0.7129856869086117,0.10312757846275597,gini,20,10,5
0.7006967900347346,0.0752516734718514,gini,20,10,10
0.7079192118816625,0.09753449774959085,gini,20,10,15
0.7147823092585938,0.0997225806383635,gini,20,10,20
0.6914359005070467,0.09426668026656118,gini,20,15,2
0.699412903740967,0.09256985230047798,gini,20,15,5
0.701604783007945,0.09934243342397492,gini,20,15,10
0.7021603385635007,0.0993935141761774,gini,20,15,15
0.6958002954445642,0.09824460136081878,gini,20,15,20
0.6945422855032539,0.06064966609328607,gini,20,20,2
0.6974887461572244,0.06489907508820375,gini,20,20,5
0.7005070717051943,0.06201793702587503,gini,20,20,10
0.6920270142132792,0.06318434682916023,gini,20,20,15
0.6919192168722802,0.0632260468718228,gini,20,20,20
0.619599989519703,0.05238922204799191,entropy,0,1,2
0.6454850381283187,0.07383505349482099,entropy,0,1,5
0.6799480601469237,0.10393757346313445,entropy,0,1,10
0.6824588648341118,0.09783384255570549,entropy,0,1,15
0.6865443591048829,0.07283896459137242,entropy,0,1,20
0.685053062742045,0.07625327668985458,entropy,0,5,2
0.6857357792350381,0.07524431242724537,entropy,0,5,5
0.6833642377330618,0.07994904238455898,entropy,0,5,10
0.6869683744560227,0.07960199901004286,entropy,0,5,15
0.6765854817942268,0.06992905077502834,entropy,0,5,20
0.704254850880345,0.10971846937351795,entropy,0,10,2
0.70576401365433,0.10980658276105502,entropy,0,10,5
0.705656216313331,0.10978928432441644,entropy,0,10,10
0.70576401365433,0.10980658276105502,entropy,0,10,15
0.704147053539346,0.1097248820275883,entropy,0,10,20
0.6946504571405757,0.10407267727189878,entropy,0,15,2
0.6946504571405757,0.10407267727189878,entropy,0,15,5
0.6946504571405757,0.10407267727189878,entropy,0,15,10
0.6949379167165729,0.10482578548174074,entropy,0,15,15
0.6966626741725557,0.10274987202661846,entropy,0,15,20
0.6985667195672136,0.058114658806676545,entropy,0,20,2
0.6960514482772387,0.06141802343687675,entropy,0,20,5
0.6985667195672136,0.058114658806676545,entropy,0,20,10
0.6985667195672136,0.058114658806676545,entropy,0,20,15
0.6960514482772387,0.06141802343687675,entropy,0,20,20
0.6829535099013853,0.10100443183002683,entropy,2,1,2
0.6829535099013853,0.10100443183002683,entropy,2,1,5
0.6829535099013853,0.10100443183002683,entropy,2,1,10
0.6829535099013853,0.10100443183002683,entropy,2,1,15
0.6829535099013853,0.10100443183002683,entropy,2,1,20
0.6829535099013853,0.10100443183002683,entropy,2,5,2
0.6829535099013853,0.10100443183002683,entropy,2,5,5
0.6829535099013853,0.10100443183002683,entropy,2,5,10
0.6829535099013853,0.10100443183002683,entropy,2,5,15
0.6829535099013853,0.10100443183002683,entropy,2,5,20
0.6829535099013853,0.10100443183002683,entropy,2,10,2
0.6829535099013853,0.10100443183002683,entropy,2,10,5
0.6829535099013853,0.10100443183002683,entropy,2,10,10
0.6829535099013853,0.10100443183002683,entropy,2,10,15
0.6829535099013853,0.10100443183002683,entropy,2,10,20
0.6829535099013853,0.10100443183002683,entropy,2,15,2
0.6829535099013853,0.10100443183002683,entropy,2,15,5
0.6829535099013853,0.10100443183002683,entropy,2,15,10
0.6829535099013853,0.10100443183002683,entropy,2,15,15
0.6829535099013853,0.10100443183002683,entropy,2,15,20
0.6838097501696809,0.08438196747953788,entropy,2,20,2
0.6838097501696809,0.08438196747953788,entropy,2,20,5
0.6838097501696809,0.08438196747953788,entropy,2,20,10
0.6838097501696809,0.08438196747953788,entropy,2,20,15
0.6838097501696809,0.08438196747953788,entropy,2,20,20
0.7001353829799977,0.07703364380427728,entropy,5,1,2
0.7159969257795346,0.07243865603608815,entropy,5,1,5
0.7164281151435301,0.07319921442387269,entropy,5,1,10
0.7130250504052382,0.0821283970505361,entropy,5,1,15
0.7071390161496387,0.09312459141096999,entropy,5,1,20
